wave number,-5_1,-5_2,-5_3,-5_4,-5_5,-5_6,-5_7,-5_8,-7_1,-7_2,-7_3,-8_1,-8_2,-8_3,-8_4,-9_1,-9_2,-9_3,-9_4,-10_1,-10_2,-10_3
440.668,12670,12976,10630,35400,15194,15854,24872,16478,8682,14484,15656,21548,26294,13636,15576,26938,12846,13818,22460,6776,25562,10290
442.436,12588,12984,10728,35152,15320,15676,24794,16494,8718,14538,15566,21580,26260,13620,15624,26734,12750,13786,22472,6834,25468,10128
444.204,12602,12978,10760,34912,15424,15792,24918,16330,8728,14688,15502,21562,26380,13868,15734,27138,12724,13858,22508,6816,25658,10300
445.971,12634,12972,10768,34494,15210,15784,24728,16468,8694,14644,15562,21666,26130,13680,15690,27142,12930,13850,22654,6724,25542,10104
447.739,12682,13124,10814,34302,15170,15868,24936,16634,8848,14718,15618,21534,26336,13636,15656,27164,12778,13702,22670,6802,25880,10210
449.503,12556,13080,10670,33998,15208,15786,24974,16610,8628,14750,15594,21814,26176,13790,15734,27198,12948,13972,22370,6862,25644,10152
451.27,12670,12986,10672,33882,15232,15794,25148,16586,8704,14512,15774,21828,26400,13802,15772,27240,12744,13904,22546,6822,25778,10284
453.036,12578,13120,10728,33396,15314,15828,25004,16620,8788,14614,15824,21700,26180,13824,15606,27368,12730,13680,22562,6760,25734,10276
454.801,12596,13066,10732,33036,15238,15784,24828,16514,8782,14710,15584,21600,26390,13764,15558,27360,12730,13898,22572,6626,25628,10290
456.567,12654,13018,10698,32846,15174,15862,25020,16628,8760,14754,15526,21700,26418,13800,15648,27360,12892,13938,22570,6760,25502,10124
458.33,12720,13214,10688,32604,15228,15896,24812,16604,8892,14736,15656,21760,26180,13758,15740,27326,12804,13912,22528,6808,25628,10190
460.095,12690,13050,10754,32654,15198,15828,24926,16620,8792,14790,15518,21760,26112,13700,15590,27254,12882,13792,22740,6842,25852,10214
461.859,12694,13098,10812,32060,15172,16026,24982,16654,8754,14812,15586,21594,26540,13772,15688,27182,12800,13758,22684,6814,25760,10240
463.623,12684,13108,10950,31950,15268,15898,25088,16668,8788,14876,15716,21778,26544,13794,15758,27262,12676,13886,22750,6836,25582,10244
465.385,12734,12950,10690,31640,15128,15934,25088,16630,8754,14720,15548,21652,26636,13908,15784,27454,12870,13962,22360,6764,25682,10206
