wave number,-1_1,-1_2,-1_3,-1_4,-1_5,-1_6,-1_7,-1_8,-1_9,-1_10,-1_11,-1_12,-1_13,-1_14,-1_15,-1_16,-1_17,-1_18,-2_1,-2_2,-2_3,-2_4,-2_5,-2_6,-2_7,-2_8,-3_1,-3_2,-3_3,-3_4,-3_5,-3_6,-4_1,-4_2,-4_3,-4_4,-4_5,-4_6,-5_1,-5_2,-5_3,-5_4,-5_5,-6_1,-6_2,-6_3,-6_4,-6_5, 
1042.94,64543.0,64543.0,2648.0,22131.0,23773.0,19140.0,36216.0,59642.5,27141.0,24360.0,59145.5,42894.0,41949.0,11119.0,53929.0,64543.0,64543.0,64543.0,64543.0,64543.0,36172.0,64543.0,13386.0,64543.0,28900.0,13291.0,23552.0,24516.0,49539.0,21398.0,16784.0,40892.0,2318.0,2269.0,2590.0,3060.0,836.0,2865.0,1196.0,941.0,1933.0,985.0,2026.0,733.0,747.0,724.0,586.0,761.0,
1044.59,64543.0,64543.0,2629.0,22150.0,23701.0,19166.0,36326.0,59754.5,27153.0,24332.0,59164.5,42974.0,42161.0,11136.0,53945.0,64543.0,64543.0,64543.0,64543.0,64543.0,36394.0,63956.5,13356.0,64543.0,28972.0,13333.0,23502.0,24496.0,49472.0,21440.0,16785.0,40894.0,2305.0,2272.0,2591.0,3039.0,864.0,2871.0,1161.0,905.0,1931.0,978.0,2097.0,710.0,756.0,729.0,572.0,730.0,
1046.24,64543.0,64543.0,2665.0,22083.0,23818.0,19138.0,36341.0,59727.5,27172.0,24549.0,59255.5,42961.0,41830.0,11164.0,54059.0,64543.0,64543.0,64543.0,64543.0,64543.0,36323.0,63326.5,13350.0,64543.0,28946.0,13370.0,23373.0,24524.0,49195.0,21487.0,16712.0,40772.0,2282.0,2292.0,2526.0,3092.0,854.0,2820.0,1214.0,921.0,1925.0,1005.0,2065.0,724.0,773.0,709.0,585.0,740.0,
1047.89,64543.0,64543.0,2656.0,22169.0,23822.0,19180.0,36402.0,59784.5,27213.0,24373.0,59296.5,43117.0,42161.0,11132.0,54091.0,64543.0,64543.0,64543.0,64543.0,64543.0,36390.0,63018.5,13393.0,64543.0,29031.0,13369.0,23499.0,24433.0,49302.0,21506.0,16657.0,40774.0,2309.0,2303.0,2588.0,3065.0,855.0,2863.0,1190.0,914.0,1954.0,992.0,2036.0,740.0,756.0,728.0,578.0,769.0,
1049.54,64543.0,64543.0,2662.0,22219.0,24002.0,19255.0,36368.0,59695.5,27278.0,24324.0,59203.5,42857.0,42012.0,11189.0,54018.0,64543.0,64543.0,64543.0,64543.0,64543.0,36413.0,62798.5,13394.0,64543.0,28904.0,13330.0,23453.0,24393.0,48957.0,21363.0,16619.0,40664.0,2298.0,2294.0,2552.0,2999.0,843.0,2814.0,1183.0,938.0,1927.0,964.0,2030.0,720.0,765.0,728.0,611.0,764.0,
1051.19,64543.0,64543.0,2649.0,22109.0,23852.0,19255.0,36580.0,59870.5,27232.0,24588.0,59289.5,42886.0,41891.0,11254.0,54114.0,64543.0,64543.0,64543.0,64543.0,64543.0,36283.0,62566.5,13350.0,64543.0,28878.0,13337.0,23463.0,24386.0,48877.0,21287.0,16589.0,40902.0,2254.0,2281.0,2548.0,3069.0,845.0,2840.0,1223.0,937.0,1935.0,994.0,2074.0,720.0,751.0,737.0,605.0,746.0,
1052.84,64543.0,64543.0,2631.0,22207.0,23806.0,19123.0,36391.0,59782.5,27156.0,24560.0,59287.5,42912.0,41979.0,11128.0,53979.0,64543.0,64543.0,64543.0,64543.0,64543.0,36212.0,62474.5,13349.0,64543.0,29152.0,13330.0,23373.0,24535.0,48701.0,21213.0,16605.0,40492.0,2287.0,2265.0,2566.0,3050.0,867.0,2847.0,1202.0,942.0,1947.0,987.0,2033.0,736.0,768.0,710.0,584.0,746.0,
1054.49,64543.0,64543.0,2638.0,22205.0,23898.0,19255.0,36360.0,59853.5,27439.0,24597.0,59344.5,43127.0,42004.0,11103.0,53890.0,64543.0,64543.0,64543.0,64543.0,64543.0,36396.0,62273.5,13389.0,64543.0,29159.0,13450.0,23277.0,24442.0,48804.0,21358.0,16655.0,40550.0,2310.0,2276.0,2594.0,3029.0,854.0,2857.0,1234.0,924.0,1920.0,993.0,2072.0,731.0,756.0,738.0,603.0,763.0,
1056.13,64543.0,64543.0,2687.0,22276.0,23978.0,19320.0,36412.0,59750.5,27338.0,24620.0,59271.5,42896.0,42036.0,11190.0,54105.0,64543.0,64543.0,64543.0,64543.0,64543.0,36480.0,62141.5,13303.0,64543.0,29022.0,13350.0,23402.0,24167.0,48742.0,21192.0,16486.0,40573.0,2306.0,2245.0,2564.0,3032.0,857.0,2808.0,1196.0,933.0,1949.0,997.0,2038.0,724.0,775.0,729.0,585.0,758.0,
1057.78,64543.0,64543.0,2755.0,22405.0,23886.0,19313.0,36426.0,59885.5,27493.0,24560.0,59289.5,43175.0,41868.0,11201.0,54187.0,64543.0,64543.0,64543.0,64543.0,64543.0,36236.0,61927.5,13386.0,64543.0,29049.0,13386.0,23192.0,24273.0,48712.0,21259.0,16490.0,40388.0,2233.0,2291.0,2578.0,3023.0,864.0,2836.0,1225.0,937.0,1954.0,987.0,2028.0,730.0,789.0,735.0,599.0,763.0,
1059.43,64543.0,64543.0,2708.0,22329.0,23999.0,19224.0,36635.0,59919.5,27574.0,24543.0,59244.5,43004.0,42247.0,11114.0,54321.0,64543.0,64543.0,64543.0,64543.0,64543.0,36429.0,61838.5,13423.0,64543.0,29039.0,13356.0,23293.0,24195.0,48647.0,21165.0,16494.0,40457.0,2269.0,2267.0,2527.0,3012.0,871.0,2854.0,1212.0,924.0,1927.0,967.0,2016.0,731.0,751.0,744.0,578.0,768.0,
1061.07,64543.0,64543.0,2694.0,22410.0,24014.0,19355.0,36534.0,59852.5,27246.0,24664.0,59112.5,42975.0,42094.0,11212.0,54241.0,64543.0,64543.0,64543.0,64543.0,64543.0,36487.0,61555.5,13462.0,64543.0,29007.0,13296.0,23123.0,24101.0,48637.0,21358.0,16369.0,40267.0,2286.0,2275.0,2604.0,3036.0,841.0,2825.0,1210.0,947.0,1970.0,944.0,2037.0,731.0,785.0,751.0,588.0,780.0,
1062.72,64543.0,64543.0,2699.0,22470.0,24190.0,19293.0,36702.0,60074.5,27492.0,24642.0,59125.5,43188.0,42268.0,11226.0,54429.0,64543.0,64543.0,64543.0,64543.0,64543.0,36563.0,61415.5,13462.0,64543.0,29293.0,13407.0,23234.0,24168.0,48728.0,21182.0,16513.0,40462.0,2314.0,2294.0,2581.0,3094.0,829.0,2802.0,1210.0,929.0,1981.0,973.0,2062.0,776.0,774.0,745.0,609.0,787.0,
1064.37,64543.0,64543.0,2730.0,22512.0,24036.0,19495.0,36905.0,60022.5,27467.0,24690.0,58966.5,43228.0,42495.0,11265.0,54474.0,64543.0,64543.0,64543.0,64543.0,64543.0,36661.0,61083.5,13532.0,64543.0,29167.0,13501.0,23155.0,24170.0,48637.0,21269.0,16405.0,40357.0,2327.0,2308.0,2614.0,3001.0,842.0,2773.0,1204.0,908.0,1974.0,970.0,2035.0,742.0,785.0,747.0,624.0,755.0,
