wave number,-1_1,-1_2,-1_3,-2_1,-2_2,-2_3,-3_1,-3_2,-4_1,-4_2,-5_1,-5_2,-6_1,-6_2,-6_3,-6_4,-6_5,-6_6,-7_1,-7_2,-7_3,-7_4,-7_5
1876.373413,8352.3135,13378.457,10259.1689,9162.2061,7678.7402,8230.4287,6352.4414,5383.7783,2064.0222,2734.3884,2963.7244,3175.4189,3197.8713,1380.826,1528.3707,1983.835,2877.1218,2285.3394,2639.7673,2994.1956,3074.3828,3218.72,4498.5103
1874.814819,8381.457,13419.6309,10312.0615,9077.3721,7539.623,8241.9531,6524.6118,5341.2344,2129.4385,2783.6633,2998.5315,3258.2974,3264.7112,1439.9365,1496.0587,1916.1738,2826.9578,2267.3386,2636.1421,2971.272,3081.9131,3258.2974,4541.0913
1873.254272,8266.2949,13314.8916,10332.8691,9116.0107,7650.6519,8171.7041,6392.1099,5422.1509,2135.5129,2706.2656,3030.1199,3209.6824,3251.3667,1386.8009,1478.1854,1851.7399,2831.3184,2302.2498,2579.6099,3044.5488,3091.0427,3188.8403,4519.5278
1871.695679,8276.1992,13450.627,10227.0293,9154.6338,7617.3735,8064.6055,6370.2529,5277.019,2096.7012,2744.3062,3053.6819,3186.7295,3209.1711,1384.9769,1519.6276,1894.7255,2848.5002,2298.677,2604.8467,2984.7537,3000.7834,3077.7266,4454.6885
1870.135132,8230.001,13464.5068,10254.2451,9074.6387,7619.3628,8340.5898,6438.1528,5308.231,2093.1611,2715.019,2961.8389,3245.5215,3288.7952,1360.715,1524.1931,1934.4911,2843.2371,2272.6665,2609.239,2950.6199,3123.7144,3144.5498,4431.5391
1868.576538,8227.082,13362.998,10202.9277,9127.6699,7574.8765,8198.2373,6616.5991,5491.665,2092.8259,2700.1621,3020.6562,3257.8218,3304.2935,1362.0996,1488.6947,1919.7592,2898.8684,2363.6433,2636.0632,2969.3772,3070.3328,3115.2019,4443.6494
1867.015991,8318.6895,13381.6826,10268.583,9038.083,7584.8765,8140.8442,6501.7803,5176.75,2076.468,2702.9333,2920.8342,3204.426,3271.719,1357.0743,1546.1355,1994.7551,2819.8948,2326.4133,2579.563,3013.7627,3113.0999,3170.7795,4438.1299
1865.455444,8149.1465,13400.3555,10305.3779,9159.9805,7625.3071,8152.3501,6468.6953,5292.8604,2124.1926,2737.7415,3048.5208,3203.9104,3309.6396,1303.9916,1483.4105,1919.1423,2806.6255,2316.4272,2518.2737,2907.5488,3010.074,3160.6577,4445.4258
1863.894897,8224.7139,13406.2031,10252.4619,8953.4854,7737.7979,8232.7227,6525.3135,5300.0151,2112.6382,2678.0374,3006.385,3233.8262,3104.0886,1396.6797,1503.9934,1934.8499,2812.5798,2306.4436,2588.3423,2934.3088,3014.3936,3144.1311,4390.2515
1862.332397,8151.3193,13290.334,10311.6592,9152.2188,7688.5039,8229.79,6469.8096,5366.4189,2142.7241,2706.4302,2946.646,3174.05,3250.9192,1370.8309,1474.9244,1881.6897,2831.3425,2317.2808,2573.511,2948.2473,3060.3481,3174.05,4416.7661
1860.771851,8252.4746,13398.6621,10242.7393,9045.0576,7762.5137,8178.8198,6359.8813,5413.5845,2108.7522,2629.1353,3003.811,3290.4219,3279.2136,1369.0077,1501.9055,1857.3671,2813.2708,2264.0664,2574.6951,2888.5261,2994.2039,3143.1135,4428.8599
1859.209351,8115.0557,13241.1963,10247.4795,9213.2861,7588.3535,8204.707,6362.0498,5387.0908,2110.0105,2750.3779,3000.1211,3225.8508,3176.2222,1354.3771,1514.4689,1903.4921,2798.4055,2233.2812,2612.699,3008.1257,2988.9148,3139.4011,4312.8745
1857.648804,8164.9556,13211.8301,10250.6123,9098.1387,7635.1377,8156.9521,6474.6611,5384.6128,2101.6638,2693.9072,2966.019,3135.6887,3255.738,1379.7671,1482.2091,1858.3638,2781.9434,2327.3564,2601.0688,2946.811,3065.2598,3198.1143,4340.9839
1856.086304,8192.4307,13310.499,10272.9463,9055.0439,7669.1006,8285.2529,6560.0259,5367.7305,2069.3127,2653.4575,2906.3203,3228,3203.9939,1305.9236,1502.7725,1893.2692,2855.1077,2285.3665,2522.2251,2943.1294,3027.9504,3112.7715,4378.6851
1854.523804,8251.8955,13178.71,10346.4717,9171.9727,7595.8398,8237.4941,6443.7432,5496.4629,2107.3774,2776.2339,3016.2542,3237.0728,3257.8745,1340.913,1529.7289,1905.7606,2809.8367,2307.3945,2525.0127,2915.4456,3097.8611,3112.2622,4281.9609
1852.961304,8205.7461,13384.5332,10143.1914,9221.665,7712.9854,8255.3418,6521.0801,5444.3662,2083.0339,2783.7781,2990.1616,3254.1406,3241.3416,1391.889,1491.0812,1937.4456,2774.179,2262.2197,2545.3972,2871.771,3009.3601,3143.7495,4414.0483
1851.398804,8233.1904,13475.1104,10287.0889,9226.5479,7623.7393,8281.1787,6607.9868,5480.2622,2133.8792,2733.7327,3004.0667,3172.0256,3266.4026,1326.0763,1490.8361,1895.5374,2818.512,2308.2366,2543.3792,2965.676,2925.6858,3167.2268,4406.9243
1849.834351,8083.0952,13367.334,10210.2256,9225.0283,7692.8545,8191.8506,6379.7915,5447.3726,2096.7427,2781.2627,2989.1777,3245.0732,3227.4805,1353.0468,1560.9618,1885.629,2733.2825,2282.2668,2546.1589,2960.3896,3000.3733,3160.3079,4348.6221
1848.271851,8134.5303,13195.625,10150.9727,9159.542,7651.6074,8385.5859,6490.6738,5379.312,2219.5259,2796.7944,3027.0623,3206.1594,3233.3438,1392.8004,1515.9298,1918.8984,2772.8081,2285.0881,2507.3606,2940.7119,2987.0852,3121.4082,4397.4756
1846.707397,8096.4111,13353.3232,10187.6641,9260.3506,7613.5684,8326.6406,6511.9834,5330.457,2212.7632,2695.6062,2984.9922,3170.4548,3248.7969,1315.8268,1558.8469,1955.3536,2783.541,2318.2852,2566.1021,2916.2429,3036.1543,3181.6467,4372.7656
1845.144897,8085.4771,13255.1953,10350.626,9146.916,7709.8174,8406.7861,6563.6558,5427.085,2137.2644,2784.678,3014.8696,3213.0901,3270.6379,1395.5361,1491.4492,1903.8757,2837.4302,2231.5789,2498.5371,2936.5405,2986.0957,3097.9944,4223.375
1843.580444,8112.9023,13256.1885,10211.4531,9225.3096,7665.3823,8422.9697,6583.3423,5437.3706,2204.0371,2785.8135,3049.5308,3209.3594,3190.1799,1384.1161,1550.3379,1909.9524,2840.1553,2261.5754,2625.9849,2931.2576,2969.6165,3178.9919,4352.1343
1842.015991,8157.8936,13292.333,10284.8584,9215.7832,7731.2222,8201.04,6628.5879,5482.8076,2123.769,2724.6245,3020.2583,3223.2068,3317.49,1431.8262,1470.1787,1930.4084,2793.3394,2250.0125,2500.9019,2898.8088,3072.9929,3122.5317,4359.3994
1840.451538,8067.0571,13191.0527,10283.1416,9174.3008,7737.9199,8258.7881,6514.041,5392.418,2164.9561,2655.4663,3091.6531,3254.6238,3192.3115,1316.5488,1460.3467,1914.1086,2770.5046,2270.4077,2518.0596,2856.7832,2994.1899,3114.0215,4232.4487
1838.885132,8153.5693,13276.707,10247.873,9000.2363,7711.0654,8201.4941,6469.8188,5372.3457,2100.6943,2758.8586,3016.0537,3204.5571,3159.8276,1365.8506,1504.8319,1921.7758,2801.9907,2230.0906,2559.1729,2805.1855,3030.4312,3068.7708,4396.2817
1837.320679,8016.4385,13229.7588,10121.5723,9051.4355,7583.5923,8287.9658,6487.9004,5387.417,2034.856,2742.4236,2975.6174,3208.8115,3200.8252,1364.0244,1488.6074,1927.8424,2787.1458,2299.9941,2557.1465,2822.2847,3050.6868,3049.0896,4315.6836
1835.754272,8090.1475,13179.627,9955.3848,8946.1123,7542.394,8187.5615,6325.5181,5356.1694,2157.4792,2639.7581,3078.9192,3205.0781,3200.2874,1327.0653,1504.3267,1887.5946,2820.2134,2293.22,2478.4661,2829.7949,2997.4749,3040.5923,4294.1978
1834.189819,8119.1221,13089.5889,10103.7959,8919.0586,7640.1177,8058.4482,6396.3032,5323.334,2106.022,2755.8711,2945.876,3222.1018,3254.0354,1358.7754,1500.88,1924.0004,2779.8213,2260.9001,2524.3523,2885.2021,2947.4729,3089.5774,4267.9277
1832.623413,8112.9624,13101.748,10011.0957,8925.5352,7461.6265,8069.8594,6347.3315,5394.2739,2070.5454,2758.5986,3050.7419,3148.123,3275.8359,1329.8107,1500.6266,1896.5366,2835.2266,2241.3616,2560.6438,2883.1189,2975.7107,3085.863,4276.7856
1831.057007,7977.5142,13056.4355,10036.5361,8941.583,7489.0947,8121.167,6328.7002,5366.2271,2035.0801,2705.4595,2936.8999,3168.3403,3160.3596,1396.6237,1489.1998,1867.4852,2751.7476,2225.021,2461.2498,2920.9385,3007.1301,3118.8601,4298.4082
1829.490601,8100.6396,12923.3613,10007.7051,8831.5488,7384.0938,8105.4272,6351.5654,5221.689,2068.2485,2652.3372,2910.8682,3076.8386,3137.4817,1326.1686,1503.3102,1895.8944,2824.6912,2267.7322,2559.7766,2829.4788,3013.0039,3081.6262,4181.1812
1827.924194,8029.0571,12894.04,9975.6885,8780.585,7542.3994,8013.1011,6297.8315,5152.1909,2072.6838,2608.8054,2982.1758,3194.3904,3117.8015,1338.708,1530.1801,1873.2339,2725.2842,2213.0967,2516.2605,2822.6157,2966.2197,3044.4041,4244.2949
1826.355835,8038.8579,13035.4248,10074.4961,8788.6621,7402.3218,7955.9009,6279.2109,5200.769,2027.6619,2670.5791,2949.7615,3160.3447,3225.7532,1332.0989,1376.7681,1882.4871,2785.4426,2278.1284,2487.1162,2846.0652,3011.9792,3063.0298,4272.2886
1824.789429,7956.1387,13148.0449,10060.0176,8740.9062,7458.481,7981.6597,6314.8262,5297.1807,2079.9529,2593.5608,2969.9939,3226.7981,3292.1953,1343.037,1480.2118,1888.5461,2783.3726,2327.1865,2435.6504,2848.7698,3009.8704,3046.5566,4142.3599
1823.221069,7824.0063,12973.5615,9975.3691,8814.3662,7431.6895,7969.1313,6226.0337,5226.1045,2007.832,2663.2878,2966.2966,3101.8533,3269.3054,1338.0231,1499.0962,1851.5433,2762.1646,2239.0757,2495.8357,2824.3611,2921.6428,3041.2515,4157.5996
1821.65271,7969.3608,12996.8516,10067.7363,8717.1865,7510.1421,8007.6294,6210.6167,5253.9106,2063.2959,2640.5085,2992.8953,3147.5627,3122.0505,1345.7665,1458.9767,1889.4944,2771.2583,2291.3108,2492.2192,2903.6028,2927.5203,3064.6482,4242.9912
1820.086304,7987.124,13040.8535,9924.1211,8819.3154,7545.5205,8058.8647,6244.6235,5186.0508,2042.2167,2606.5764,2861.6543,3158.1821,3277.75,1340.7528,1466.6974,1860.4738,2746.8691,2260.6272,2410.4854,2864.8428,2962.0911,3033.8318,4229.5088
1818.517944,7942.7134,13030.6406,10045.1494,8747.6641,7325.8501,7985.7505,6245.1436,5280.7964,2121.5635,2674.6685,3033.3098,3136.9175,3149.6692,1340.5221,1506.2942,1848.9961,2760.7424,2206.0437,2441.95,2869.1318,2921.7327,3101.8503,4209.6538
1816.947632,7939.7505,13197.3252,9962.1396,8781.2178,7415.4277,8078.4014,6288.6904,5131.6733,2062.2314,2715.6433,2938.7595,3168.2505,3257.4971,1359.4154,1442.2871,1944.2987,2857.4814,2258.2551,2436.748,2905.2922,2876.6057,3075.8167,4224.8652
1815.379272,8021.2368,12909.8252,10041.6836,8556.624,7329.6963,8006.8965,6333.8135,5240.7329,2045.9413,2619.5696,2970.1204,3153.3628,3167.7034,1346.4334,1429.2908,1873.8528,2737.4822,2305.6675,2519.1848,2809.1858,2930.2852,3100.78,4222.5425
1813.810913,7892.3979,12976.0967,10087.7402,8841.9072,7420.8296,7976.8345,6275.3647,5193.625,2079.0432,2684.4351,2945.7095,3179.9004,3103.4299,1336.6415,1472.0581,1897.4255,2854.9006,2276.592,2399.2634,2939.3369,2907.4741,3073.1604,4234.5566
1812.240601,8032.7944,13134.7256,9998.3838,8902.4961,7597.9434,7895.8086,6258.3481,5273.9604,2061.1611,2669.6338,2969.0916,3160.2349,3236.6921,1401.717,1481.3601,1847.7179,2758.834,2276.1973,2542.2051,2854.4055,2887.8557,2954.7559,4176.4795
1810.670288,7951.7695,12977.9629,10026.9062,8740.0986,7454.8838,8115.8057,6470.667,5214.1187,2016.2108,2728.0957,3075.2788,3209.0559,3143.76,1331.3999,1487.473,1880.8412,2796.5767,2210.5059,2441.4307,2812.5024,2893.7244,3008.3904,4201.2354
1809.099976,8080.9546,13020.2891,9990.1299,8865.9619,7393.0781,7918.5396,6222.7334,5265.7568,2132.0981,2657.5593,2931.436,3183.0203,3197.3511,1324.7988,1477.6603,1885.2906,2713.29,2270.6289,2413.9365,2882.0745,2842.2668,2990.3513,4120.8887
